[2026-03-22T18:53:57.948Z] GET https://www.podsocietyinc.org/forge/workbook.html → pending (?ms, ?B)
[2026-03-22T18:53:58.749Z] GET https://www.podsocietyinc.org/ → 200 (327ms, 85301B)
[2026-03-22T18:53:59.117Z] GET https://plausible.io/js/script.manual.js → 200 (51ms, 2514B)
[2026-03-22T18:53:59.117Z] GET https://gfonts.jwwb.nl/css?display=fallback&family=Open+Sans%3A400%2C700%2C400italic%2C700italic → 200 (151ms, 24374B)
[2026-03-22T18:53:59.117Z] GET https://assets.jwwb.nl/assets/website-rendering-i18n/en-GB.js?bust=d7f51070463962b13d73 → 200 (158ms, 2146B)
[2026-03-22T18:53:59.117Z] GET https://assets.jwwb.nl/assets/website-rendering/runtime.c687b29be18e82e3350d.js?bust=a6da3890fca9688e9ca9 → 200 (158ms, 6434B)
[2026-03-22T18:53:59.117Z] GET https://assets.jwwb.nl/assets/website-rendering/756.82523ee325ec8c755248.js?bust=e4226aaab007e3c01d4b → 200 (160ms, 309109B)
[2026-03-22T18:53:59.117Z] GET https://assets.jwwb.nl/assets/website-rendering/main.a474bebc5b4d91a5e0ee.js?bust=6e2e415c1709c5888b40 → 200 (158ms, 90867B)
[2026-03-22T18:53:59.118Z] GET https://assets.jwwb.nl/assets/website-rendering/main.33d75f2a1b0dfb7ab5d9.css?bust=e5444aa11625255ba3b1 → 200 (60ms, 173650B)
[2026-03-22T18:53:59.118Z] GET https://assets.jwwb.nl/assets/website-rendering/fonts/icons-website-rendering/font/website-rendering.woff2?bust=eeda4129169be2e46f13 → 200 (147ms, 8128B)
[2026-03-22T18:53:59.118Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/style.css?bust=1772732149 → 200 (86ms, 224241B)
[2026-03-22T18:53:59.118Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/inshot_20241102_091359230-high.png?enable-io=true&enable=upscale&height=70 → 200 (133ms, 7134B)
[2026-03-22T18:53:59.118Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/inshot_20241102_091359230-high.png?enable-io=true&width=100 → 200 (115ms, 3712B)
[2026-03-22T18:53:59.382Z] GET https://assets.jwwb.nl/assets/templates/voetbal/img/background.jpg → 200 (6ms, 82452B)
[2026-03-22T18:53:59.382Z] GET https://gfonts.jwwb.nl/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2 → 200 (155ms, ?B)
[2026-03-22T18:53:59.383Z] GET https://gfonts.jwwb.nl/s/opensans/v44/memtYaGs126MiZpBA-UFUIcVXSCEkx2cmqvXlWqWuU6FxZCJgg.woff2 → pending (?ms, ?B)
[2026-03-22T18:53:59.383Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/inshot_20241102_091359230-high-7npxsz.png → 200 (65ms, ?B)
[2026-03-22T18:53:59.383Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/file_00000000daec71fd9241c648321009d7-high.png?enable-io=true&width=347 → 200 (65ms, ?B)
[2026-03-22T18:53:59.383Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/inshot_20251106_081422231-high.jpg?enable-io=true&width=532 → 200 (66ms, ?B)
[2026-03-22T18:53:59.384Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/screenshot_20260214_105522_instagram-high.jpg?enable-io=true&width=347 → 200 (65ms, ?B)
[2026-03-22T18:53:59.385Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/screenshot_20250602-214200_instagram-high-z619ns.jpg?enable-io=true&width=532 → 200 (77ms, ?B)
[2026-03-22T18:53:59.385Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/screenshot_20250514-165404_facebook-high-ahivn4.jpg?enable-io=true&width=532 → 200 (79ms, ?B)
[2026-03-22T18:53:59.385Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/img_8263-high.jpg?enable-io=true&crop=1%3A1%2Coffset-x56&width=532 → 200 (85ms, ?B)
[2026-03-22T18:53:59.386Z] GET https://primary.jwwb.nl/public/u/x/e/temp-svzzrtfsmdobcutlequn/messenger_creation_189e4e59-bf8d-4af5-beeb-64b70ab1f8e0-2-high-8onmcg.jpg?enable-io=true&crop=0.9627%3A1%2Coffset-y19&width=532 → 200 (84ms, ?B)
[2026-03-22T18:53:59.785Z] GET https://assets.jwwb.nl/assets/website-rendering/238.1f687aeaa192bf650c94.js → 200 (63ms, 41588B)
[2026-03-22T18:53:59.786Z] GET https://assets.jwwb.nl/assets/website-rendering/photoswipe.f2e88381269275c6bd04.js → 200 (62ms, 114B)
[2026-03-22T18:53:59.786Z] GET https://assets.jwwb.nl/assets/website-rendering/98.681be6bc897f4eb178bb.js → 200 (63ms, 120550B)
[2026-03-22T18:53:59.791Z] GET https://assets.jwwb.nl/assets/website-rendering/64.d0c9da536c1f5f9b35cc.css → 200 (45ms, 33330B)
[2026-03-22T18:53:59.791Z] GET https://assets.jwwb.nl/assets/website-rendering/element-video-plyr.a86c7adcdc3fccecf87d.js → 200 (58ms, 1162B)
[2026-03-22T18:53:59.883Z] GET https://player.vimeo.com/api/player.js → 200 (23ms, 24397B)
[2026-03-22T18:53:59.924Z] GET https://player.vimeo.com/video/1048257366?loop=false&autoplay=false&muted=false&gesture=media&playsinline=true&byline=false&portrait=false&title=false&speed=true&transparent=false&customControls=true&dnt=1 → 200 (229ms, 22473B)
[2026-03-22T18:53:59.937Z] GET https://player.vimeo.com/video/1165247838?loop=false&autoplay=false&muted=false&gesture=media&playsinline=true&byline=false&portrait=false&title=false&speed=true&transparent=false&customControls=true&dnt=1 → 200 (249ms, 22172B)
[2026-03-22T18:53:59.939Z] GET https://player.vimeo.com/video/1121886233?loop=false&autoplay=false&muted=false&gesture=media&playsinline=true&byline=false&portrait=false&title=false&speed=true&transparent=false&customControls=true&dnt=1 → 200 (250ms, 21497B)
[2026-03-22T18:53:59.970Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (51ms, 5785B)
[2026-03-22T18:53:59.974Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (45ms, 5785B)
[2026-03-22T18:53:59.981Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (11ms, 5785B)
[2026-03-22T18:54:00.206Z] GET https://f.vimeocdn.com/p/4.46.33/js/player.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.206Z] GET https://f.vimeocdn.com/p/4.46.33/js/vendor.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.206Z] GET https://f.vimeocdn.com/p/4.46.33/css/player.css → 200 (76ms, 197826B)
[2026-03-22T18:54:00.222Z] GET https://f.vimeocdn.com/p/4.46.33/js/player.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.222Z] GET https://f.vimeocdn.com/p/4.46.33/js/vendor.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.222Z] GET https://f.vimeocdn.com/p/4.46.33/css/player.css → 200 (60ms, 197826B)
[2026-03-22T18:54:00.223Z] GET https://f.vimeocdn.com/p/4.46.33/js/player.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.223Z] GET https://f.vimeocdn.com/p/4.46.33/js/vendor.module.js → pending (?ms, ?B)
[2026-03-22T18:54:00.223Z] GET https://f.vimeocdn.com/p/4.46.33/css/player.css → 200 (59ms, 197826B)
[2026-03-22T18:54:00.227Z] GET https://i.vimeocdn.com/video/1972379283-f6ed32720fafa19e2c39e56131976bd3f126b2bb4cbcc3ff6a8438a27a0fbcb5-d?mw=80&q=85 → 200 (67ms, 1643B)
